Token1	Label1	Offset1	Token2	Label2	Offset2	Relation	Sentence
mutation	Var	(147, 155)	decreased	NegReg	(55, 64)	CauseOf	Further, heterozygous subjects exhibited significantly decreased expression of TNFα in periodontal tissues, pointing to a functional effect of the mutation in periodontal tissues during the progression of the disease.
rs333	Var	(9, 14)	modulate	Reg	(87, 95)	NoRelation	CCR5Δ32 (rs333) is a loss-of-function mutation in the CCR5 gene, which can potentially modulate the host response and, consequently periodontitis outcome.
host response	CPA	(100, 113)	loss-of-function	NegReg	(21, 37)	NoRelation	CCR5Δ32 (rs333) is a loss-of-function mutation in the CCR5 gene, which can potentially modulate the host response and, consequently periodontitis outcome.
TNFα	Protein	(79, 83)	mutation	Var	(147, 155)	NoRelation	Further, heterozygous subjects exhibited significantly decreased expression of TNFα in periodontal tissues, pointing to a functional effect of the mutation in periodontal tissues during the progression of the disease.
(BMP9)-ALK1-Smad1/5/8 signaling	MPA	(84, 115)	mutations	Var	(42, 51)	ThemeOf	Because HHT is caused by loss-of-function mutations in bone morphogenetic protein 9 (BMP9)-ALK1-Smad1/5/8 signaling, interventions aimed at activating this pathway are of therapeutic value.
mutations	Var	(42, 51)	loss-of-function	NegReg	(25, 41)	CauseOf	Because HHT is caused by loss-of-function mutations in bone morphogenetic protein 9 (BMP9)-ALK1-Smad1/5/8 signaling, interventions aimed at activating this pathway are of therapeutic value.
HHT	Disease	(8, 11)	loss-of-function	NegReg	(25, 41)	ThemeOf	Because HHT is caused by loss-of-function mutations in bone morphogenetic protein 9 (BMP9)-ALK1-Smad1/5/8 signaling, interventions aimed at activating this pathway are of therapeutic value.
(BMP9)-ALK1-Smad1/5/8 signaling	MPA	(84, 115)	loss-of-function	NegReg	(25, 41)	NoRelation	Because HHT is caused by loss-of-function mutations in bone morphogenetic protein 9 (BMP9)-ALK1-Smad1/5/8 signaling, interventions aimed at activating this pathway are of therapeutic value.
ORC1	Gene	(23, 27)	mutations	Var	(10, 19)	ThemeOf	Recessive mutations in ORC1, ORC4, ORC6, CDT1 or CDC6 of the preRC in human cause Meier-Gorlin syndrome (MGS) that is characterized by impaired post-natal growth, short stature and microcephaly.
cell cycle arrest at the S phase	CPA	(124, 156)	Loss-of-function	NegReg	(0, 16)	ThemeOf	Loss-of-function mutations of cdc6, as manifested by cdc6tsu4305 and cdc6tsu7cd mutants, lead to embryonic lethality due to cell cycle arrest at the S phase and extensive apoptosis.
apoptosis	CPA	(171, 180)	Loss-of-function	NegReg	(0, 16)	ThemeOf	Loss-of-function mutations of cdc6, as manifested by cdc6tsu4305 and cdc6tsu7cd mutants, lead to embryonic lethality due to cell cycle arrest at the S phase and extensive apoptosis.
Loss-of-function	NegReg	(0, 16)	embryonic lethality	CPA	(97, 116)	CauseOf	Loss-of-function mutations of cdc6, as manifested by cdc6tsu4305 and cdc6tsu7cd mutants, lead to embryonic lethality due to cell cycle arrest at the S phase and extensive apoptosis.
body weight and length	CPA	(114, 136)	reduced	NegReg	(162, 169)	ThemeOf	Later on, compared with their wild-type (WT) siblings, cdc6tsu21cd mutant fish show growth retardation, and their body weight and length in adulthood are greatly reduced, which resemble human MGS.
cdc6tsu21cd mutant	Var	(55, 73)	reduced	NegReg	(162, 169)	CauseOf	Later on, compared with their wild-type (WT) siblings, cdc6tsu21cd mutant fish show growth retardation, and their body weight and length in adulthood are greatly reduced, which resemble human MGS.
cdc6tsu21cd mutant	Var	(14, 32)	defective	NegReg	(114, 123)	CauseOf	Surprisingly, cdc6tsu21cd mutant fish become males with a short life and fail to mate with WT females, suggesting defective reproduction.
reproduction	CPA	(124, 136)	defective	NegReg	(114, 123)	ThemeOf	Surprisingly, cdc6tsu21cd mutant fish become males with a short life and fail to mate with WT females, suggesting defective reproduction.
CDC6	Gene	(55, 59)	mutation	Var	(67, 75)	ThemeOf	Overexpression of Cdc6 mutant forms, which mimic human CDC6(T323R) mutation found in a MGS patient, in zebrafish cdc6tsu4305 mutant embryos partially represses cell death phenotype, suggesting that the human CDC6(T323R) mutation is a hypomorph.
mutation	Var	(67, 75)	represses	NegReg	(150, 159)	CauseOf	Overexpression of Cdc6 mutant forms, which mimic human CDC6(T323R) mutation found in a MGS patient, in zebrafish cdc6tsu4305 mutant embryos partially represses cell death phenotype, suggesting that the human CDC6(T323R) mutation is a hypomorph.
cell death phenotype	CPA	(160, 180)	represses	NegReg	(150, 159)	ThemeOf	Overexpression of Cdc6 mutant forms, which mimic human CDC6(T323R) mutation found in a MGS patient, in zebrafish cdc6tsu4305 mutant embryos partially represses cell death phenotype, suggesting that the human CDC6(T323R) mutation is a hypomorph.
ORC4	Gene	(29, 33)	mutations	Var	(10, 19)	ThemeOf	Recessive mutations in ORC1, ORC4, ORC6, CDT1 or CDC6 of the preRC in human cause Meier-Gorlin syndrome (MGS) that is characterized by impaired post-natal growth, short stature and microcephaly.
ORC6	Gene	(35, 39)	mutations	Var	(10, 19)	ThemeOf	Recessive mutations in ORC1, ORC4, ORC6, CDT1 or CDC6 of the preRC in human cause Meier-Gorlin syndrome (MGS) that is characterized by impaired post-natal growth, short stature and microcephaly.
CDT1	Gene	(41, 45)	mutations	Var	(10, 19)	ThemeOf	Recessive mutations in ORC1, ORC4, ORC6, CDT1 or CDC6 of the preRC in human cause Meier-Gorlin syndrome (MGS) that is characterized by impaired post-natal growth, short stature and microcephaly.
CDC6	Gene	(49, 53)	mutations	Var	(10, 19)	ThemeOf	Recessive mutations in ORC1, ORC4, ORC6, CDT1 or CDC6 of the preRC in human cause Meier-Gorlin syndrome (MGS) that is characterized by impaired post-natal growth, short stature and microcephaly.
mutations	Var	(10, 19)	cause	Reg	(76, 81)	CauseOf	Recessive mutations in ORC1, ORC4, ORC6, CDT1 or CDC6 of the preRC in human cause Meier-Gorlin syndrome (MGS) that is characterized by impaired post-natal growth, short stature and microcephaly.
Meier-Gorlin syndrome	Disease	(82, 103)	cause	Reg	(76, 81)	ThemeOf	Recessive mutations in ORC1, ORC4, ORC6, CDT1 or CDC6 of the preRC in human cause Meier-Gorlin syndrome (MGS) that is characterized by impaired post-natal growth, short stature and microcephaly.
cdc6	Gene	(30, 34)	mutations	Var	(17, 26)	ThemeOf	Loss-of-function mutations of cdc6, as manifested by cdc6tsu4305 and cdc6tsu7cd mutants, lead to embryonic lethality due to cell cycle arrest at the S phase and extensive apoptosis.
mutations	Var	(17, 26)	Loss-of-function	NegReg	(0, 16)	CauseOf	Loss-of-function mutations of cdc6, as manifested by cdc6tsu4305 and cdc6tsu7cd mutants, lead to embryonic lethality due to cell cycle arrest at the S phase and extensive apoptosis.
KCNT1	Gene	(0, 5)	mutations	Var	(6, 15)	ThemeOf	KCNT1 mutations are gain-of-function mutations in potassium channels resulting in severe infantile epilepsy.
mutations	Var	(6, 15)	gain-of-function	PosReg	(20, 36)	CauseOf	KCNT1 mutations are gain-of-function mutations in potassium channels resulting in severe infantile epilepsy.
infantile epilepsy	Disease	(89, 107)	gain-of-function	PosReg	(20, 36)	ThemeOf	KCNT1 mutations are gain-of-function mutations in potassium channels resulting in severe infantile epilepsy.
CDH11	Gene	(66, 71)	mutations	Var	(53, 62)	ThemeOf	We consider that this study reveals loss-of-function mutations in CDH11 as a probable cause of this phenotype.
Elsahy-Waters syndrome	Disease	(60, 82)	cause	Reg	(51, 56)	ThemeOf	Homozygous indel mutation in CDH11 as the probable cause of Elsahy-Waters syndrome.
cell proliferation rate	CPA	(13, 36)	slow	NegReg	(41, 45)	ThemeOf	In addition, cell proliferation rate was slow and osteogenic differentiation potential was delayed.
osteogenic differentiation potential	CPA	(50, 86)	delayed	NegReg	(91, 98)	ThemeOf	In addition, cell proliferation rate was slow and osteogenic differentiation potential was delayed.
CDH11	Gene	(29, 34)	Homozygous indel mutation	Var	(0, 25)	ThemeOf	Homozygous indel mutation in CDH11 as the probable cause of Elsahy-Waters syndrome.
Homozygous indel mutation	Var	(0, 25)	cause	Reg	(51, 56)	CauseOf	Homozygous indel mutation in CDH11 as the probable cause of Elsahy-Waters syndrome.
cell proliferation rate	CPA	(13, 36)	delayed	NegReg	(91, 98)	NoRelation	In addition, cell proliferation rate was slow and osteogenic differentiation potential was delayed.
osteogenic differentiation potential	CPA	(50, 86)	slow	NegReg	(41, 45)	NoRelation	In addition, cell proliferation rate was slow and osteogenic differentiation potential was delayed.
Mutant	Var	(10, 16)	Effect	Reg	(0, 6)	CauseOf	Effect of Mutant p53 Proteins on Glycolysis and Mitochondrial Metabolism.
proteins	Protein	(218, 226)	mutant	Var	(211, 217)	ThemeOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
activities	MPA	(304, 314)	gain-of-function	PosReg	(281, 297)	ThemeOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
accumulate	PosReg	(232, 242)	gain-of-function	PosReg	(281, 297)	CauseOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
gain-of-function	PosReg	(281, 297)	promote	PosReg	(318, 325)	CauseOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
tumorigenic events	CPA	(326, 344)	promote	PosReg	(318, 325)	ThemeOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
tumor development	CPA	(101, 118)	promote	PosReg	(93, 100)	ThemeOf	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
GOF	PosReg	(86, 89)	promote	PosReg	(93, 100)	CauseOf	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
mutant	Var	(10, 16)	GOF	PosReg	(86, 89)	CauseOf	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
metabolic changes	CPA	(57, 74)	GOF	PosReg	(86, 89)	ThemeOf	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
proteins	Protein	(21, 29)	mutant	Var	(10, 16)	ThemeOf	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
Glycolysis	MPA	(33, 43)	Effect	Reg	(0, 6)	ThemeOf	Effect of Mutant p53 Proteins on Glycolysis and Mitochondrial Metabolism.
p53	Gene	(17, 20)	proteins	Protein	(21, 29)	ThemeOf	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
p53	Gene	(17, 20)	Proteins	Protein	(21, 29)	ThemeOf	Effect of Mutant p53 Proteins on Glycolysis and Mitochondrial Metabolism.
Mitochondrial Metabolism	MPA	(48, 72)	Effect	Reg	(0, 6)	ThemeOf	Effect of Mutant p53 Proteins on Glycolysis and Mitochondrial Metabolism.
Proteins	Protein	(21, 29)	Mutant	Var	(10, 16)	ThemeOf	Effect of Mutant p53 Proteins on Glycolysis and Mitochondrial Metabolism.
TP53	Gene	(114, 118)	mutations	Var	(119, 128)	ThemeOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
mutations	Var	(119, 128)	accumulate	PosReg	(232, 242)	CauseOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
missense substitutions	Var	(143, 165)	mutations	Var	(119, 128)	CauseOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
proteins	Protein	(218, 226)	expression	MPA	(185, 195)	ThemeOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
expression	MPA	(185, 195)	accumulate	PosReg	(232, 242)	ThemeOf	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
Proteins	Protein	(21, 29)	Glycolysis	MPA	(33, 43)	NoRelation	Effect of Mutant p53 Proteins on Glycolysis and Mitochondrial Metabolism.
Proteins	Protein	(21, 29)	Mitochondrial Metabolism	MPA	(48, 72)	NoRelation	Effect of Mutant p53 Proteins on Glycolysis and Mitochondrial Metabolism.
expression	MPA	(185, 195)	gain-of-function	PosReg	(281, 297)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
mutant	Var	(211, 217)	gain-of-function	PosReg	(281, 297)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
expression	MPA	(185, 195)	promote	PosReg	(318, 325)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
activities	MPA	(304, 314)	promote	PosReg	(318, 325)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
mutations	Var	(119, 128)	promote	PosReg	(318, 325)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
missense substitutions	Var	(143, 165)	promote	PosReg	(318, 325)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
mutant	Var	(211, 217)	accumulate	PosReg	(232, 242)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
proteins	Protein	(218, 226)	activities	MPA	(304, 314)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
activities	MPA	(304, 314)	accumulate	PosReg	(232, 242)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
mutant	Var	(211, 217)	promote	PosReg	(318, 325)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
mutations	Var	(119, 128)	gain-of-function	PosReg	(281, 297)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
tumorigenic events	CPA	(326, 344)	gain-of-function	PosReg	(281, 297)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
tumorigenic events	CPA	(326, 344)	accumulate	PosReg	(232, 242)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
missense substitutions	Var	(143, 165)	accumulate	PosReg	(232, 242)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
missense substitutions	Var	(143, 165)	gain-of-function	PosReg	(281, 297)	NoRelation	Unlike other tumor suppressors that are frequently deleted or acquire loss-of-function mutations, the majority of TP53 mutations in tumors are missense substitutions, which lead to the expression of full-length mutant proteins that accumulate in cancer cells and may confer unique gain-of-function (GOF) activities to promote tumorigenic events.
mutant	Var	(10, 16)	promote	PosReg	(93, 100)	NoRelation	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
metabolic changes	CPA	(57, 74)	promote	PosReg	(93, 100)	NoRelation	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
tumor development	CPA	(101, 118)	GOF	PosReg	(86, 89)	NoRelation	Recently, mutant p53 proteins have been shown to mediate metabolic changes as a novel GOF to promote tumor development.
Mparf1	Gene	(0, 6)	mutants	Var	(7, 14)	ThemeOf	Mparf1 mutants showed reduced auxin-inducible gene expression and various developmental defects, including thallus twisting and gemma malformation.
mutants	Var	(7, 14)	reduced	NegReg	(22, 29)	CauseOf	Mparf1 mutants showed reduced auxin-inducible gene expression and various developmental defects, including thallus twisting and gemma malformation.
auxin-inducible gene	Gene	(30, 50)	expression	MPA	(51, 61)	ThemeOf	Mparf1 mutants showed reduced auxin-inducible gene expression and various developmental defects, including thallus twisting and gemma malformation.
expression	MPA	(51, 61)	reduced	NegReg	(22, 29)	ThemeOf	Mparf1 mutants showed reduced auxin-inducible gene expression and various developmental defects, including thallus twisting and gemma malformation.
developmental defects	CPA	(74, 95)	reduced	NegReg	(22, 29)	ThemeOf	Mparf1 mutants showed reduced auxin-inducible gene expression and various developmental defects, including thallus twisting and gemma malformation.
Tas1R3	Gene	(106, 112)	mutant	Var	(113, 119)	ThemeOf	Here, we independently corroborate the increased thickness of cortical bone in femurs of 20-week-old male Tas1R3 mutant mice and confirm that Tas1R3 is expressed in the bone environment.
cortical bone mass	CPA	(101, 119)	increased	PosReg	(91, 100)	ThemeOf	It was recently reported that deletion of TAS1R3 expression in Tas1R3 mutant mice leads to increased cortical bone mass but the underlying cellular mechanism leading to this phenotype remains unclear.
mutant	Var	(67, 73)	reduced	NegReg	(120, 127)	CauseOf	Collectively, these findings suggest that high bone mass in Tas1R3 mutant mice is due to uncoupled bone remodeling with reduced osteoclast function and provide rationale for future experiments examining the cell-type-dependent role for TAS1R family members in nutrient sensing in postnatal bone remodeling.
osteoclast function	CPA	(128, 147)	reduced	NegReg	(120, 127)	ThemeOf	Collectively, these findings suggest that high bone mass in Tas1R3 mutant mice is due to uncoupled bone remodeling with reduced osteoclast function and provide rationale for future experiments examining the cell-type-dependent role for TAS1R family members in nutrient sensing in postnatal bone remodeling.
reduced	NegReg	(120, 127)	high	PosReg	(42, 46)	CauseOf	Collectively, these findings suggest that high bone mass in Tas1R3 mutant mice is due to uncoupled bone remodeling with reduced osteoclast function and provide rationale for future experiments examining the cell-type-dependent role for TAS1R family members in nutrient sensing in postnatal bone remodeling.
bone mass	CPA	(47, 56)	high	PosReg	(42, 46)	ThemeOf	Collectively, these findings suggest that high bone mass in Tas1R3 mutant mice is due to uncoupled bone remodeling with reduced osteoclast function and provide rationale for future experiments examining the cell-type-dependent role for TAS1R family members in nutrient sensing in postnatal bone remodeling.
mutant	Var	(113, 119)	increased	PosReg	(39, 48)	CauseOf	Here, we independently corroborate the increased thickness of cortical bone in femurs of 20-week-old male Tas1R3 mutant mice and confirm that Tas1R3 is expressed in the bone environment.
thickness of cortical bone	CPA	(49, 75)	increased	PosReg	(39, 48)	ThemeOf	Here, we independently corroborate the increased thickness of cortical bone in femurs of 20-week-old male Tas1R3 mutant mice and confirm that Tas1R3 is expressed in the bone environment.
Tas1R3	Gene	(112, 118)	mutant	Var	(119, 125)	ThemeOf	In contrast, levels of the bone resorption marker collagen type I C-telopeptide are reduced greater than 60% in Tas1R3 mutant mice.
mutant	Var	(119, 125)	reduced	NegReg	(84, 91)	CauseOf	In contrast, levels of the bone resorption marker collagen type I C-telopeptide are reduced greater than 60% in Tas1R3 mutant mice.
levels of the bone resorption marker collagen type I C-telopeptide	MPA	(13, 79)	reduced	NegReg	(84, 91)	ThemeOf	In contrast, levels of the bone resorption marker collagen type I C-telopeptide are reduced greater than 60% in Tas1R3 mutant mice.
Tas1R3	Gene	(60, 66)	mutant	Var	(67, 73)	ThemeOf	Collectively, these findings suggest that high bone mass in Tas1R3 mutant mice is due to uncoupled bone remodeling with reduced osteoclast function and provide rationale for future experiments examining the cell-type-dependent role for TAS1R family members in nutrient sensing in postnatal bone remodeling.
TAS1R3	Gene	(42, 48)	deletion	Var	(30, 38)	ThemeOf	It was recently reported that deletion of TAS1R3 expression in Tas1R3 mutant mice leads to increased cortical bone mass but the underlying cellular mechanism leading to this phenotype remains unclear.
deletion	Var	(30, 38)	increased	PosReg	(91, 100)	CauseOf	It was recently reported that deletion of TAS1R3 expression in Tas1R3 mutant mice leads to increased cortical bone mass but the underlying cellular mechanism leading to this phenotype remains unclear.
mutant	Var	(67, 73)	high	PosReg	(42, 46)	NoRelation	Collectively, these findings suggest that high bone mass in Tas1R3 mutant mice is due to uncoupled bone remodeling with reduced osteoclast function and provide rationale for future experiments examining the cell-type-dependent role for TAS1R family members in nutrient sensing in postnatal bone remodeling.
osteoclast function	CPA	(128, 147)	high	PosReg	(42, 46)	NoRelation	Collectively, these findings suggest that high bone mass in Tas1R3 mutant mice is due to uncoupled bone remodeling with reduced osteoclast function and provide rationale for future experiments examining the cell-type-dependent role for TAS1R family members in nutrient sensing in postnatal bone remodeling.
bone mass	CPA	(47, 56)	reduced	NegReg	(120, 127)	NoRelation	Collectively, these findings suggest that high bone mass in Tas1R3 mutant mice is due to uncoupled bone remodeling with reduced osteoclast function and provide rationale for future experiments examining the cell-type-dependent role for TAS1R family members in nutrient sensing in postnatal bone remodeling.
heparin binding site	MPA	(66, 86)	lost	NegReg	(92, 96)	ThemeOf	In both cases, critical functional domains of FGF5, including one heparin binding site, are lost.
critical functional domains	MPA	(15, 42)	lost	NegReg	(92, 96)	ThemeOf	In both cases, critical functional domains of FGF5, including one heparin binding site, are lost.
FLNA	Gene	(48, 52)	mutations	Var	(17, 26)	ThemeOf	Loss-of-function mutations in the X-linked gene FLNA can lead to abnormal neuronal migration, vascular and cardiac defects, and congenital intestinal pseudo-obstruction (CIPO), the latter characterized by anomalous intestinal smooth muscle layering.
mutations	Var	(17, 26)	Loss-of-function	NegReg	(0, 16)	CauseOf	Loss-of-function mutations in the X-linked gene FLNA can lead to abnormal neuronal migration, vascular and cardiac defects, and congenital intestinal pseudo-obstruction (CIPO), the latter characterized by anomalous intestinal smooth muscle layering.
abnormal neuronal migration	CPA	(65, 92)	Loss-of-function	NegReg	(0, 16)	ThemeOf	Loss-of-function mutations in the X-linked gene FLNA can lead to abnormal neuronal migration, vascular and cardiac defects, and congenital intestinal pseudo-obstruction (CIPO), the latter characterized by anomalous intestinal smooth muscle layering.
vascular and cardiac defects	CPA	(94, 122)	Loss-of-function	NegReg	(0, 16)	ThemeOf	Loss-of-function mutations in the X-linked gene FLNA can lead to abnormal neuronal migration, vascular and cardiac defects, and congenital intestinal pseudo-obstruction (CIPO), the latter characterized by anomalous intestinal smooth muscle layering.
congenital intestinal pseudo-obstruction	Disease	(128, 168)	Loss-of-function	NegReg	(0, 16)	ThemeOf	Loss-of-function mutations in the X-linked gene FLNA can lead to abnormal neuronal migration, vascular and cardiac defects, and congenital intestinal pseudo-obstruction (CIPO), the latter characterized by anomalous intestinal smooth muscle layering.
mutations	Var	(78, 87)	confer	Reg	(93, 99)	CauseOf	In apricot, Prunus armeniaca (Rosaceae), we previously mapped two pollen-part mutations that confer self-compatibility in cultivars Canino and Katy at the distal end of chromosome 3 (M-locus) unlinked to the S-locus.
self-compatibility	MPA	(100, 118)	confer	Reg	(93, 99)	ThemeOf	In apricot, Prunus armeniaca (Rosaceae), we previously mapped two pollen-part mutations that confer self-compatibility in cultivars Canino and Katy at the distal end of chromosome 3 (M-locus) unlinked to the S-locus.
MITE	Gene	(4, 8)	insertion	Var	(9, 18)	ThemeOf	The MITE insertion truncates the ParMDO ORF and produces a loss of SI function, suggesting that pollen rejection in Prunus is dependent on redox regulation.
insertion	Var	(9, 18)	truncates	NegReg	(19, 28)	CauseOf	The MITE insertion truncates the ParMDO ORF and produces a loss of SI function, suggesting that pollen rejection in Prunus is dependent on redox regulation.
ParMDO ORF	MPA	(33, 43)	truncates	NegReg	(19, 28)	ThemeOf	The MITE insertion truncates the ParMDO ORF and produces a loss of SI function, suggesting that pollen rejection in Prunus is dependent on redox regulation.
insertion	Var	(9, 18)	loss	NegReg	(59, 63)	CauseOf	The MITE insertion truncates the ParMDO ORF and produces a loss of SI function, suggesting that pollen rejection in Prunus is dependent on redox regulation.
SI function	MPA	(67, 78)	loss	NegReg	(59, 63)	ThemeOf	The MITE insertion truncates the ParMDO ORF and produces a loss of SI function, suggesting that pollen rejection in Prunus is dependent on redox regulation.
SI function	MPA	(67, 78)	truncates	NegReg	(19, 28)	NoRelation	The MITE insertion truncates the ParMDO ORF and produces a loss of SI function, suggesting that pollen rejection in Prunus is dependent on redox regulation.
ParMDO ORF	MPA	(33, 43)	loss	NegReg	(59, 63)	NoRelation	The MITE insertion truncates the ParMDO ORF and produces a loss of SI function, suggesting that pollen rejection in Prunus is dependent on redox regulation.
Variant	Var	(39, 46)	Gain-of-Function	PosReg	(4, 20)	CauseOf	The Gain-of-Function Integrin β3 Pro33 Variant Alters the Serotonin System in the Mouse Brain.
Itgb3	Gene	(47, 52)	variant	Var	(53, 60)	ThemeOf	Here, we used knock-in (KI) mice expressing an Itgb3 variant that phenocopies the human Pro33 variant to elucidate the consequences of constitutively enhanced αvβ3 signaling to the 5-HT system in the brain.
variant	Var	(53, 60)	enhanced	PosReg	(150, 158)	CauseOf	Here, we used knock-in (KI) mice expressing an Itgb3 variant that phenocopies the human Pro33 variant to elucidate the consequences of constitutively enhanced αvβ3 signaling to the 5-HT system in the brain.
